Number of AIs: 5
Playing round 1
- Game 157:  Winner was: Monopoly Lads (['Generous Daddy', 'LazyBones', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: False)
- Game 158:  Winner was: Generous Daddy (['Generous Daddy', 'LazyBones', 'Monopoly Lads', 'Sophie'] eminent-domain: False)
- Game 159:  Winner was: Monopoly Lads (['Generous Daddy', 'LazyBones', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: False)
- Game 160:  Winner was: Mean Daddy (['Generous Daddy', 'LazyBones', 'Mean Daddy', 'Sophie'] eminent-domain: False)
- Results: [('Monopoly Lads', 50), ('Generous Daddy', 49), ('Mean Daddy', 32), ('Sophie', 25), ('LazyBones', 4)]
- Game 161:  Winner was: Monopoly Lads (['Generous Daddy', 'LazyBones', 'Sophie', 'Monopoly Lads'] eminent-domain: False)
- Game 162:  Winner was: Generous Daddy (['Generous Daddy', 'LazyBones', 'Sophie', 'Mean Daddy'] eminent-domain: False)
- Game 163:  Winner was: Monopoly Lads (['Generous Daddy', 'Sophie', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: False)
- Game 164:  Winner was: Monopoly Lads (['Generous Daddy', 'Sophie', 'Monopoly Lads', 'LazyBones'] eminent-domain: False)
- Game 165:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: False)
- Game 166:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'Mean Daddy', 'LazyBones'] eminent-domain: False)
- Game 167:  Winner was: Monopoly Lads (['Generous Daddy', 'Sophie', 'LazyBones', 'Monopoly Lads'] eminent-domain: False)
- Game 168:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'LazyBones', 'Mean Daddy'] eminent-domain: False)
- Game 169:  Winner was: Mean Daddy (['Mean Daddy', 'Monopoly Lads', 'Generous Daddy', 'LazyBones'] eminent-domain: False)
- Game 170:  Winner was: Monopoly Lads (['Mean Daddy', 'Monopoly Lads', 'Generous Daddy', 'Sophie'] eminent-domain: False)
- Results: [('Monopoly Lads', 55), ('Generous Daddy', 53), ('Mean Daddy', 33), ('Sophie', 25), ('LazyBones', 4)]
- Game 171:  Winner was: Generous Daddy (['Mean Daddy', 'Monopoly Lads', 'LazyBones', 'Generous Daddy'] eminent-domain: False)
- Game 172:  Winner was: Mean Daddy (['Mean Daddy', 'Monopoly Lads', 'LazyBones', 'Sophie'] eminent-domain: False)
- Game 173:  Winner was: Monopoly Lads (['Mean Daddy', 'Monopoly Lads', 'Sophie', 'Generous Daddy'] eminent-domain: False)
- Game 174:  Winner was: Mean Daddy (['Mean Daddy', 'Monopoly Lads', 'Sophie', 'LazyBones'] eminent-domain: False)
- Game 175:  Winner was: Mean Daddy (['Mean Daddy', 'Generous Daddy', 'Monopoly Lads', 'LazyBones'] eminent-domain: False)
- Game 176:  Winner was: Monopoly Lads (['Mean Daddy', 'Generous Daddy', 'Monopoly Lads', 'Sophie'] eminent-domain: False)
- Game 177:  Winner was: Mean Daddy (['Mean Daddy', 'Generous Daddy', 'LazyBones', 'Monopoly Lads'] eminent-domain: False)
- Game 178:  Winner was: Generous Daddy (['Mean Daddy', 'Generous Daddy', 'LazyBones', 'Sophie'] eminent-domain: False)
- Game 179:  Winner was: Mean Daddy (['Mean Daddy', 'Generous Daddy', 'Sophie', 'Monopoly Lads'] eminent-domain: False)
- Game 180:  Winner was: Generous Daddy (['Mean Daddy', 'Generous Daddy', 'Sophie', 'LazyBones'] eminent-domain: False)
- Results: [('Monopoly Lads', 57), ('Generous Daddy', 56), ('Mean Daddy', 38), ('Sophie', 25), ('LazyBones', 4)]
- Game 181:  Winner was: Mean Daddy (['Mean Daddy', 'LazyBones', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: False)
- Game 182:  Winner was: Monopoly Lads (['Mean Daddy', 'LazyBones', 'Monopoly Lads', 'Sophie'] eminent-domain: False)
- Game 183:  Winner was: Mean Daddy (['Mean Daddy', 'LazyBones', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: False)
- Game 184:  Winner was: Generous Daddy (['Mean Daddy', 'LazyBones', 'Generous Daddy', 'Sophie'] eminent-domain: False)
- Game 185:  Winner was: Monopoly Lads (['Mean Daddy', 'LazyBones', 'Sophie', 'Monopoly Lads'] eminent-domain: False)
- Game 186:  Winner was: Generous Daddy (['Mean Daddy', 'LazyBones', 'Sophie', 'Generous Daddy'] eminent-domain: False)
- Game 187:  Winner was: Sophie (['Mean Daddy', 'Sophie', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: False)
- Game 188:  Winner was: Monopoly Lads (['Mean Daddy', 'Sophie', 'Monopoly Lads', 'LazyBones'] eminent-domain: False)
- Game 189:  Winner was: Generous Daddy (['Mean Daddy', 'Sophie', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: False)
